,sum_tx_ether,avg_tx_gas_cost,tx_date
0,8246871.766893777,0.0005370300954870813,2018-01-01
1,13984780.92694972,0.0005844979818264066,2018-01-02
2,13975588.8507884,0.0006050748915710925,2018-01-03
3,20231765.93566037,0.0007000256320466576,2018-01-04
4,18517692.86081935,0.0019254378470614007,2018-01-05
5,15408042.885939034,0.0022103026388330866,2018-01-06
6,12280545.090079945,0.001739841440981445,2018-01-07
7,15139541.826477334,0.001674402665209547,2018-01-08
8,16112970.392687794,0.0017250293125721573,2018-01-09
9,17355909.473917715,0.0021732425234148142,2018-01-10
10,15772247.562387027,0.0018852876517799647,2018-01-11
11,12472386.058796262,0.0013675887944438658,2018-01-12
12,9561006.538088867,0.0013978957181306488,2018-01-13
13,24861277.035392497,0.0013943065909801232,2018-01-14
14,11704519.642005835,0.00121510246180732,2018-01-15
15,15168854.432647703,0.0012145476536022679,2018-01-16
16,15950849.389547544,0.0011666649582774923,2018-01-17
17,13779769.252634078,0.0012426227641925693,2018-01-18
18,9096520.529717468,0.0012226852880739161,2018-01-19
19,7790457.614371018,0.0011539398691394768,2018-01-20
20,7450336.949831599,0.0009353251920657366,2018-01-21
21,8920002.274098575,0.0008079977599731651,2018-01-22
22,8578638.972667517,0.0010651030081955286,2018-01-23
23,8604385.354299318,0.0009389657010978433,2018-01-24
24,4092420.0977461953,0.0008511263177400685,2018-01-25
25,9954273.002890479,0.0006586237370850147,2018-01-26
26,6416871.41922353,0.0006546273772727766,2018-01-27
27,7312187.543349566,0.0006632468267441529,2018-01-28
28,7892582.050352356,0.00101800949876588,2018-01-29
29,8481103.8742139,0.0007153491191741052,2018-01-30
30,8212693.658043195,0.0007249318130047795,2018-01-31
31,8200733.649844402,0.001148473027809591,2018-02-01
32,11082934.021429434,0.0008238593755950359,2018-02-02
33,6208386.111638049,0.0007323630747457747,2018-02-03
34,5076337.72370217,0.0007114998519783417,2018-02-04
35,7179105.03501562,0.0006456751404396116,2018-02-05
36,8902173.685209166,0.0006662676251861751,2018-02-06
37,7027555.596498488,0.0007326291872132255,2018-02-07
38,3635216.1765215755,0.0007232179928072916,2018-02-08
39,5142893.27593226,0.0006051655902353267,2018-02-09
40,5766600.724660803,0.000599345086325871,2018-02-10
41,3987316.5370290778,0.0005824445160547454,2018-02-11
42,4653423.516596989,0.0005420866540573471,2018-02-12
43,6433856.129383153,0.0006466424426497722,2018-02-13
44,4876279.3771997765,0.0005818217670968114,2018-02-14
45,5489301.962794714,0.0005478635368514502,2018-02-15
46,4344207.168443986,0.0005703693411796412,2018-02-16
47,4186708.3350973325,0.0005432783227541445,2018-02-17
48,4141648.8565584067,0.000801843231553784,2018-02-18
49,3802703.3241348853,0.0005297715224269672,2018-02-19
50,4442304.058165485,0.0005869119865240932,2018-02-20
51,4335416.283588834,0.0006340181854922932,2018-02-21
52,5659533.982455057,0.0004969442072702173,2018-02-22
53,3150036.564186495,0.0005499396428196772,2018-02-23
54,2905636.644236521,0.0004920708038085055,2018-02-24
55,1878329.0024117932,0.00044644154683254155,2018-02-25
56,2456218.299821619,0.00044186949165199744,2018-02-26
57,1540123.402657351,0.00045684108624715486,2018-02-27
58,1551727.5739207363,0.0006167062922822825,2018-02-28
59,1689000.6473261772,0.0005275935979523185,2018-03-01
60,1547301.1593776501,0.0004928520564819712,2018-03-02
61,1035427.1998801146,0.00044218928801640923,2018-03-03
62,1071434.9010837711,0.0004889281006365971,2018-03-04
63,1567458.9977289059,0.0005173302783931947,2018-03-05
64,1949002.7435601878,0.0004846603178097404,2018-03-06
65,1985044.3004576894,0.00047434106103251783,2018-03-07
66,1670820.2591000942,0.00045283278556256223,2018-03-08
67,1814202.3180731682,0.000425143801052104,2018-03-09
68,1139674.1689017336,0.00036136732638698745,2018-03-10
69,1088366.0078718984,0.00035232931004404694,2018-03-11
70,1482274.712032376,0.0005241284059233723,2018-03-12
71,2723347.712106913,0.0003450425957938039,2018-03-13
72,1921541.1940214483,0.00033152645001748466,2018-03-14
73,1877798.7933954375,0.0003421786924159293,2018-03-15
74,1384522.7055704384,0.0004371642436764212,2018-03-16
75,1232063.333101632,0.0003126377788370916,2018-03-17
76,2858521.7167454776,0.0003367182967265033,2018-03-18
77,2326664.105930307,0.0003210459198589506,2018-03-19
78,1897261.049099967,0.00036155502359924826,2018-03-20
79,1772810.1043026645,0.0003426898159424381,2018-03-21
80,1544254.018430721,0.00030344111485315167,2018-03-22
81,2018629.2965113895,0.000322798267969921,2018-03-23
82,1189319.1455477306,0.0002885908489747432,2018-03-24
83,987629.5762511292,0.0003209998674499861,2018-03-25
84,1951229.464674697,0.000474040667002257,2018-03-26
85,2481780.8297002846,0.0003458034513721628,2018-03-27
86,2459366.658445448,0.000360853622845921,2018-03-28
87,2564299.504027569,0.00038435624037644865,2018-03-29
88,2317808.4597503482,0.0003183425475526365,2018-03-30
89,1493715.2353590955,0.00030007297262565577,2018-03-31
90,1251787.1273839697,0.0002880762978925242,2018-04-01
91,1422843.1149099038,0.00033208429689325403,2018-04-02
92,1664784.1832102684,0.0003497315492790146,2018-04-03
93,1566497.0163097384,0.00029521135162501787,2018-04-04
94,1293412.7136778147,0.0003258237615558361,2018-04-05
95,1314358.9484177614,0.0003591639529398067,2018-04-06
96,878699.1340245889,0.0002689728813092649,2018-04-07
97,1247456.4572642515,0.00028522002406900475,2018-04-08
98,1555552.0570390467,0.0002975604493311203,2018-04-09
99,1260567.5196101686,0.00030669484074432376,2018-04-10
100,1482225.938435251,0.0003108350459841262,2018-04-11
101,2261830.7557792934,0.00032524626441445264,2018-04-12
102,2219429.5937577635,0.00039691873803504764,2018-04-13
103,967023.4876263131,0.0002938334236458661,2018-04-14
104,1166777.583074819,0.00029983390337077494,2018-04-15
105,1392437.2207704221,0.00031200520870396976,2018-04-16
106,1442209.1655392842,0.0003315614992041638,2018-04-17
107,1727539.2671167525,0.00044184654760178783,2018-04-18
108,1806905.5089592373,0.00035311246151265946,2018-04-19
109,2167484.410048433,0.00032744766909531894,2018-04-20
110,1696708.5217554749,0.00027647349206904643,2018-04-21
111,1256723.9763939113,0.0002898071591835088,2018-04-22
112,3082879.5843546265,0.0002922394121823491,2018-04-23
113,2711941.5664297873,0.0003392425530471763,2018-04-24
114,2514647.225223839,0.00036489298814151416,2018-04-25
115,2021247.4365179124,0.0003659661277294678,2018-04-26
116,2100701.0527034,0.0003812578528961723,2018-04-27
117,1790756.7837406131,0.0005107584105217888,2018-04-28
118,1655556.9286969455,0.00038736651891571773,2018-04-29
119,2006053.6588140014,0.00039485957708679606,2018-04-30
120,1872994.466923586,0.00037111090350828925,2018-05-01
121,2661127.391736343,0.0003740602077358152,2018-05-02
122,2697762.454017671,0.00042928983997245136,2018-05-03
123,2547802.0189724737,0.00032220749292290684,2018-05-04
124,1734444.493097539,0.0003369312525571324,2018-05-05
125,1525061.5061341785,0.0003410686673237846,2018-05-06
126,2952580.45382459,0.00036947594743549705,2018-05-07
127,2103100.4908100497,0.00046859908195784106,2018-05-08
128,2228353.499044783,0.0003859900673100416,2018-05-09
129,2138241.3424672727,0.00045753506798685537,2018-05-10
130,2186589.094128977,0.00046387882248898673,2018-05-11
131,1601913.471812693,0.0003418325840288882,2018-05-12
132,1184466.0562015933,0.00036338054854457316,2018-05-13
133,2165358.8605955713,0.0004591562736414596,2018-05-14
134,1968181.7677060363,0.000472077727558694,2018-05-15
135,1665863.2245438807,0.00043789456568355347,2018-05-16
136,1691786.5432167065,0.0005582698488488736,2018-05-17
137,1647457.2606967043,0.0004629834128439736,2018-05-18
138,1207288.616023629,0.0004685640629045916,2018-05-19
139,1261890.312567718,0.0004498263171436897,2018-05-20
140,1645205.023983746,0.0004421461686550176,2018-05-21
141,2198135.8337459383,0.0005025951551473042,2018-05-22
142,2637955.8908370635,0.000503639183009495,2018-05-23
143,2111247.626515349,0.0004751288128169529,2018-05-24
144,1806529.2398356486,0.0004519278244546592,2018-05-25
145,1325047.548929546,0.0004241978339974604,2018-05-26
146,1951701.0609902036,0.0003914366331017339,2018-05-27
147,2726108.423222892,0.0006262988469296589,2018-05-28
148,2233893.8018743666,0.0005540880426269807,2018-05-29
149,2167069.9643427962,0.0005474913614634652,2018-05-30
150,2251989.7315889033,0.0006687442609623274,2018-05-31
151,2466518.959364769,0.0005484052505049848,2018-06-01
152,1295498.7464347559,0.0004370965599675447,2018-06-02
